key,comment,en,fr-fr,it,de,es,pt-br,ru,zh-cn,zh-tw,ko,jp,nl,cat,tok,sl
CLOUDS_TEXT,Clouds as in natural clouds in the sky. This is intentionally vague and poetic and not really descriptive.,Tiles with the letter <b>W</b> are clouds.<br>You can't use clouds outside of this world.,Les tuiles qui comportent la lettre <b>W</b> sont des nuages.<br>Impossible d'utiliser les nuages ailleurs que dans ce monde.,Le tessere con la lettera <b>W</b> sono nuvole.<br>Non puoi usare le nuvole fuori da questo mondo.,Kacheln mit dem Buchstaben <b>W</b> sind Wolken.<br>Du kannst Wolken nicht außerhalb dieser Welt benutzen.,Las casillas con la letra <b>W</b> son nubes.<br>No puedes usar las nubes que hay más allá de este mundo.,Espaços com a letra <b>W</b> são nuvens.<br>Não é possível usar nuvens fora deste mundo.,Плитки с буквой <b>W</b> — облака.<br>Вы не можете использовать облака за пределами этого мира.,“<b>W</b>”的是云彩，<br>只能在这个世界使用。,寫著「<b>W</b>」的是雲朵方塊。雲朵只能在這個世界裡使用。,<b>W</b> 문자가 새겨진 타일들은 구름입니다.<br>이 세계의 밖에서는 구름을 사용할 수 없습니다.,<b>W</b>のタイルはいわゆる「雲」です。<br>雲はこのワールドの外側で使うことはできません。,Tegels met de letter <b>W</b> zijn wolken.<br>Wolken zijn niet te gebruiken buiten deze wereld.,Les caselles amb la lletra <b>W</b> són núvols. No pots utilitzar núvols fora d'aquest món.,ma pi sitelen <b>W</b> li kon telo.<br>sina ken kepeken ma pi kon telo lon ma musi suli ni taso.,Kvadratki s črko <b>W</b> so oblaki.<br>Oblakov ne morete uporabljati izven tega sveta.
ARROWS_TEXT,Arrows appear on tiles. They are pointing in a specific direction (left/right/up/down).,You can't use arrows outside of this world.,Impossible d'utiliser les flèches en dehors de ce monde.,Non puoi usare le frecce fuori da questo mondo.,Außerhalb dieser Welt kannst du keine Pfeile benutzen.,No puedes usar las flechas más allá de este mundo.,Não é possível usar setas fora deste mundo.,Вы не можете использовать стрелочки за пределами этого мира.,箭头只能在这个世界里使用。,箭頭只能在這個世界裡使用。,이 세계의 밖에서는 화살표를 사용할 수 없습니다.,矢印はこのワールドの外側で使うことはできません。,Pijlen zijn niet te gebruiken buiten deze wereld.,No pots utilitzar fletxes fora d'aquest món.,sina ken kepeken sitelen pi nasin tawa lon ma musi suli ni taso.,Puščic ne morete uporabljati izven tega sveta.
FINAL_ENDING,This is the sendoff when the player has seen and done everything the game has to offer,"<b>Congratulations on 100% completing LOK Digital!</b><br>We hope you had a good time with our game and<br>we hope you stay curious on your path forward.<br>
 <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>Bravo, vous avez terminé <i>LOK Digital</i> à 100 % !</b><br>Nous espérons vous avoir divertis avec notre jeu et<br>vous souhaitons de toujours faire preuve de curiosité à l'avenir.<br>
 <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>Congratulazioni per aver completato LOK Digital al 100%!</b><br>Ci auguriamo che il nostro gioco ti sia piaciuto e<br>speriamo che tu possa sempre conservare la tua curiosità in futuro.<br>
<i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>Glückwunsch, dass du LOK Digital zu 100 % abgeschlossen hast!</b><br>Wir hoffen, du hattest Spaß mit unserem Spiel und<br>wir hoffen, du bleibst neugierig auf deinem weiteren Weg.<br>
  <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>¡Enhorabuena por completar al 100 % LOK Digital!</b><br>Esperamos que hayas pasado un buen rato con nuestro juego y<br>que conserves la curiosidad allá donde vayas.<br>
 <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>Parabéns por completar 100% de LOK Digital!</b><br>Esperamos que você tenha se divertido com o nosso jogo e<br>que sempre mantenha viva a curiosidade no futuro.<br>
 <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>""","<b>Поздравляем с завершением LOK Digital на все 100%!</b><br>Мы надеемся, что вам понравилось и что все это время<br>вас не покидало чувство любопытства.<br>
 <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>《LOK数字版》完全通关，撒花！</b><br>希望这款游戏让你玩得愉快，也愿你往后能够好奇心常在。<br>
 <b>Letibus Design、Icedrop Games、Draknek & Friends</b>","<b>恭喜你完全通關《LOK Digital》了！</b><br>希望你玩得愉快，願你往後也能常保好奇心。<br>
 <b>──Letibus Design、Icedrop Games、Draknek & Friends </b>","<B>게임을 100% 완료하셨다니 축하드립니다!</b><br>저희 게임과 함께 즐거운 시간을 보내셨길 바라며<br>앞으로도 지금처럼 계속 호기심을 갖고 지내시길 바랍니다.<br>
 <i>- Letibus 디자인, Icedrop 게임즈, Draknek, 그리고 친구들로부터</i>","<b>おめでとう！LOK Digitalを100%コンプリートしました！</b><br>私たちのゲームがもし楽しかったならとってもうれしいです。<br>これからもあなたが好奇心いっぱいでいられますように。<br>
 <i>- Letibus Design、Icedrop Games、Draknek & Friends一同</i>","<b>Gefeliciteerd met het 100% voltooien van LOK Digital!</b><br>We hopen dat je genoten hebt van onze game en<br>we hopen dat je in alle nieuwsgierigheid je weg vervolgt.<br>
  <i>- Letibus Design, Icedrop Games, Draknek & Friends</i>","<b>Felicitats per completar el 100% de LOK Digital!</b><br>Esperem que ho hagis passat bé i que conservis la curiositat allà on vagis.<br>
<i>- Letibus Design, Icedrop Games, Draknek & Friends</i>",<b>sina pini ale e musi LOK Digital! wawa a!</b><br>mi wile e ni: tenpo sina pi musi mi li pona tawa sina. o awen alasa musi lon ale sina.<br><i>- kulupu Letibus Design en kulupu Icedrop Games en kulupu Draknek & Friends</i>,"<b>Čestitke za 100% dokončanje LOKa Digital!</b><br>Upamo, da ste se imeli dobro z našo igro in<br>upamo, da ostanete radovedni na vaši poti naprej.<br><i>- Letibus Design, Icedrop Games, Draknek & Friends</i>"
EDITOR_WARNING,This warning shows up the first time the player opens the level editor,"Using the editor could spoil the mechanics from all parts of the game, including the secret mechanics. Use with caution.","En utilisant l'éditeur, vous pourriez vous dévoiler les mécanismes de toutes les parties du jeu, y compris les secrets. À utiliser avec prudence.","Utilizzando l'editor potresti svelare alcune delle meccaniche del gioco, comprese quelle segrete. Usalo con cautela.","Die Verwendung des Editors könnte die Mechaniken aller Teile des Spiels verderben, einschließlich der geheimen Mechaniken. Verwende ihn mit Vorsicht.","Al usar el editor puedes destriparte las mecánicas de todo el juego, lo que incluye las mecánicas secretas. Úsalo con cautela.","Usar o editor pode revelar mecânicas de todas as áreas do jogo, incluindo mecânicas secretas. Use-o com cautela.","Редактор может сломать механики из всех частей игры, в том числе секретные. Используйте с осторожностью.",剧透警告：关卡编辑工具有可能提前展示游戏各项机制，包括隐藏机制。如果介意剧透，请完成游戏主线之后再来使用。,劇透警告：關卡編輯器集結了遊戲中的各項解謎機制，包括隱藏機制。如果介意劇透，請先完成遊戲主線。,"에디터를 사용할 경우 비밀 메커니즘을 포함한, 게임에 등장하는 모든 파츠의 메커니즘을 확인할 수 있습니다. 이 점에 유의하여 사용하세요.",注意！このエディター機能を使うと、シークレットを含むゲーム中のすべての部分で使われているしかけのネタバレになってしまいます。,"Het gebruiken van de leveleditor zou de regels van alle delen van het spel kunnen verklappen, ook de geheime regels. Wees voorzichtig.","Usar l'editor podria revelar mecàniques del joc massa aviat, incloses mecàniques secretes. Usa'l amb precaució.","ilo ni la sina ken pali e ma musi sin. taso o sona e ni: ilo la sina ken kama lukin e nasin lawa pi ma ale a musi, e nasin len ale kin. sina o kama sona e ni tan musi, tan ilo ni ala.","Uporaba urejevalnika bi lahko razkrila mehanike iz vseh delov igre, vključno s skrivnimi mehanikami. Uporabljajte s previdnostjo."
DAILY_WARNING,This warning shows up the first time the player goes to play daily puzzles,Daily puzzles spoil mechanics of the main game. It's recommended you play through the campaign first.,Les niveaux journaliers vous dévoileront les mécanismes du jeu principal. Il est donc d'abord recommandé de terminer la campagne.,I rompicapi giornalieri svelano le meccaniche del gioco principale. Ti consigliamo di giocare prima la campagna.,"Tägliche Rätsel verderben die Mechaniken des Hauptspiels. Es wird empfohlen, dass du zuerst die Kampagne durchspielst.",Los puzles diarios pueden destripar las mecánicas del juego principal. Es recomendable que juegues la campaña primero.,Puzzles diários possuem mecânicas do jogo principal. É recomendado jogar a campanha primeiro.,Ежедневные задачки ломают механики основной игры. Советуем сначала пройти сюжетный режим.,剧透警告：每日谜题会提前展示游戏的机制，建议主线通关之后再来挑战。,劇透警告：每日關卡可能涉及主遊戲的解謎機制，建議你先將主線完整通關再遊玩。,"일일 퍼즐은 메인 게임의 메커니즘에 대한 스포일러를 포함하고 있습니다. 따라서, 캠페인을 먼저 플레이하시는 것을 추천합니다.",デイリーパズルはゲーム本編で使われているしかけのネタバレになります。まずは1度ゲーム本編をあそぶことをおすすめします。,Dagelijkse puzzels verklappen de regels van de hoofdmodus. We raden aan om eerst de reguliere campagne te spelen.,Els puzzles diaris usen les mecàniques del joc principal. Recomanem que juguis la campanya primer.,"musi sin pi suno ale li kepeken nasin pi ma musi mute. nasin pona la, nanpa wan la sina o kama lukin e ma suli ale, o kama sona e nasin ona tan ona.","Dnevne uganke razkrijejo mehanike glavne igre. Priporočamo, da najprej igrate skozi glavno igro."
THIRD_DAILY_WARNING,"There are three daily puzzles every day. The third one contains more complex mechanics and the first time the player tries to play it, this warnign shows up.",Warning: The third daily puzzle contains mechanics up to world 5.,Attention : le troisième niveau journalier utilise des mécanismes allant jusqu'au monde 5.,Attenzione: il terzo rompicapo giornaliero utilizza delle meccaniche fino al mondo 5.,Achtung! Das dritte tägliche Rätsel enthält Mechaniken bis zur 5. Welt.,Advertencia: El tercer puzle diario contiene mecánicas del mundo 5.,Aviso: o terceiro puzzle diário contém mecânicas que pertencem até o mundo 5.,Внимание: в третьей ежедневной задачке используются механики из пяти миров.,剧透警告：第三个每日谜题有可能包含游戏中后期的机制，最晚可以到5号世界。,劇透警告：第三個每日關卡，涉及了多達5號世界的解謎機制。,경고: 일일 퍼즐 3번째 스테이지는 월드 5에 등장하는 메커니즘을 포함하고 있습니다.,注意：3つ目のデイリーパズルには、ワールド5までのしかけが含まれています。,Waarschuwing: de derde dagelijkse puzzel bevat regels van tot en met de 5e wereld.,Avís: El tercer puzzle diari conté mecàniques fins al món 5.,"o sona: utala ni nanpa tu wan la nasin pi ma ona li wawa, li ken tan ma musi suli nanpa luka a.",Pozor: tretja dnevna uganka vsebuje mehanike vse to petega sveta.
DAILY_LOCKED_POPUP,There are three daily puzzles every day. The third one is not available on the demo.,The third daily puzzle contains mechanics not in the demo and is only available in the full game.,Le troisième niveau journalier contient des mécanismes qui ne sont pas présents dans la démo. Il n'est donc disponible dans le jeu complet.,Il terzo rompicapo giornaliero contiene meccaniche non presenti nella demo ed è disponibile solo nel gioco completo.,"Das dritte tägliche Rätsel enthält Mechanismen, die in der Demo nicht enthalten sind und nur in der Vollversion verfügbar sind.",El tercer puzle diario contiene mecánicas que no aparecen en la demo y solo está disponible en el juego completo.,O terceiro puzzle diário contém mecânicas que não estão presentes na demo e só estão disponíveis na versão completa.,"В третьей ежедневной задачке есть механики, недоступные в демо, так что поиграть в нее можно только в полной версии игры.",第三个每日谜题所含机制不能在试玩版体验，只有正式版才会出现。,第三個每日關卡涉及了試玩版不包含的解謎機制，僅於完整版中開放遊玩。,"일일 퍼즐 3번째 스테이지는 본 데모에 등장하지 않는 메커니즘을 포함하고 있으며, 정식 버전에서만 이용 가능합니다.",3つ目のデイリーパズルには、リリース版だけであそべるデモ版にはないしかけが含まれています。,De derde dagelijkse puzzel bevat regels die niet in de demo zitten en alleen beschikbaar zijn in het volledige spel.,"El tercer puzzle diari conté mecàniques que no són a la demo, i només està disponible al joc complet.",utala nanpa tu wan la nasin pi ma ona li lon ala musi lili ni pi mani ala. sina ken utala ni lon musi pi suli ale taso.,"Tretja dnevna uganka vsebuje mehanike, ki jih ni v demu in so del samo cele igre."
PLAY,This appears on the main menu as an option,PLAY,JOUER,GIOCA,SPIELEN,JUGAR,JOGAR,ИГРАТЬ,开始游戏,開始遊戲,게임 시작,あそぶ,SPELEN,JUGAR,O MUSI,IGRAJ
CONTINUE,This appears on the main menu as an option,CONTINUE,CONTINUER,CONTINUA,FORTSETZEN,REANUDAR,CONTINUAR,ПРОДОЛЖИТЬ,继续游戏,繼續遊戲,계속하기,つづける,DOORGAAN,CONTINUAR,O AWEN MUSI,NADALJUJ
DAILY,This refers to newly generated puzzles that appear each day,DAILY PUZZLES,NIVEAUX JOURNALIERS,ROMPICAPI GIORNALIERI,TÄGLICHE RÄTSEL,PUZLES DIARIOS,PUZZLES DIÁRIOS,ЕЖЕДНЕВНЫЕ ЗАДАЧКИ,每日谜题,每日關卡,일일 퍼즐,デイリーパズル,DAGELIJKSE PUZZELS,PUZLES DIARIS,MUSI SIN PI SUNO ALE,DNEVNE UGANKE
LEADERBOARDS,,LEADERBOARDS,CLASSEMENT,CLASSIFICHE,BESTENLISTEN,CLASIFICACIÓN,PLACARES,ТАБЛИЦА РЕКОРДОВ,排行榜,排行榜,순위표,ランキング,SCOREBORDEN,CLASSIFICACIÓ,JAN WAWA,LESTVICE
LEADERBOARD_FRIENDS,Leaderboard that only shows friends' scores,FRIENDS,AMIS,AMICI,FREUNDE,AMIGOS,AMIGOS,ДРУЗЬЯ,好友,好友,친구,フレンド,VRIENDEN,AMICS,JAN POKA TASO,PRIJATELJI
LEADERBOARD_TOP,Leaderboard that shows the top scores,TOP,MEILLEURS,MIGLIORI,TOP,MEJORES,MELHORES,ЛИДЕРЫ,最高分,最高分,1위,TOP,TOP,MILLORS,JAN NANPA WAN,TOP
LEADREBOARD_GLOBAL,"Leaderboard that shows all the scores, centered around the player",GLOBAL,MONDE,GLOBALE,GLOBAL,GLOBAL,GLOBAL,ГЛОБАЛЬНО,全球,全球,전체,グローバル,GLOBAL,GLOBAL,JAN ALE,GLOBALNO
CREDITS,This appears on the main menu as an option,CREDITS,CRÉDITS,RICONOSCIMENTI,CREDITS,CRÉDITOS,CRÉDITOS,СОЗДАТЕЛИ,致谢名单,製作人員,만든 사람들,クレジット,CREDITS,CRÈDITS,JAN PALI,ZASLUGE
EDITOR,"This appears on the main menu as an option and is short for ""level editor""",EDITOR,ÉDITEUR,EDITOR,EDITOR,EDITOR,EDITOR,РЕДАКТОР,编辑工具,編輯器,에디터,エディター,EDITOR,EDITOR,ILO PI PALI MA,UREJEVALNIK
THE_BOOK,"This is a menu option that leads to information about LOK, a physical real-world book that is available",THE BOOK,LE LIVRE,IL LIBRO,DAS BUCH,EL LIBRO,O LIVRO,КНИГА,纸质版,紙本書原作,퍼즐북,もとの本,HET BOEK,EL LLIBRE,MUSI NI LIPU,KNJIGA
SAVEFILES,,SAVE FILES,SAUVEGARDES,SALVATAGGI,SPEICHERDATEN,PARTIDAS GUARDADAS,SALVAMENTOS,СОХРАНЕНИЯ,存档文件,存檔,파일 저장,セーブファイル,OPSLAGBESTANDEN,PARTIDES GUARDADES,LIPU AWEN PI PALI SINA,IZBIRA IGRE
DELETE_Q,Confirmation of deleting a savefile,DELETE?,SUPPRIMER ?,ELIMINARE?,LÖSCHEN?,¿ELIMINAR?,APAGAR?,УДАЛИТЬ?,删除吗？,刪除？,삭제하시겠습니까?,削除しますか？,VERWIJDEREN?,ELIMINAR?,O WEKA ALA WEKA?,IZBRIŠI?
SETTINGS,,SETTINGS,PARAMÈTRES,IMPOSTAZIONI,EINSTELLUNGEN,OPCIONES,CONFIGURAÇÕES,НАСТРОЙКИ,游戏设置,設定,설정,設定,INSTELLINGEN,AJUSTOS,NASIN ILO,NASTAVITVE
LANGUAGE,,LANGUAGE,LANGUE,LINGUA,SPRACHE,IDIOMA,IDIOMA,ЯЗЫК,语言,語言,언어,言語,TAAL,IDIOMA,TOKI,JEZIK
AUDIO,,AUDIO,AUDIO,AUDIO,AUDIO,SONIDO,ÁUDIO,ЗВУК,声音,音訊,오디오,オーディオ,AUDIO,ÀUDIO,KUTE,ZVOK
MUSIC,,MUSIC,MUSIQUE,MUSICA,MUSIK,MÚSICA,MÚSICA,МУЗЫКА,音乐,音樂,음악,音楽,MUZIEK,MÚSICA,KALAMA AWEN,GLASBA
SFX,,SOUND EFFECTS,EFFETS SONORES,EFFETTI SONORI,SOUNDEFFEKTE,EFECTOS DE SONIDO,EFEITOS SONOROS,ЗВУКОВЫЕ ЭФФЕКТЫ,音效,音效,효과음,効果音,GELUIDSEFFECTEN,EFECTES DE SO,MU LILI,ZVOČNI UČINKI
GRAPHICS,,GRAPHICS,GRAPHISMES,GRAFICA,GRAFIK,GRÁFICOS,GRÁFICOS,ГРАФИКА,图像,圖像,그래픽,グラフィック,BEELD,GRÀFICS,SITELEN,GRAFIKA
BRIGHTNESS,,BRIGHTNESS,LUMINOSITÉ,LUMINOSITÀ,HELLIGKEIT,BRILLO,BRILHO,ЯРКОСТЬ,亮度,亮度,밝기,明るさ,HELDERHEID,BRILLANTOR,WAWA SUNO,SVETLOST
DARK_MODE,,DARK MODE,MODE SOMBRE,MODALITÀ SCURA,DUNKELMODUS,MODO OSCURO,MODO ESCURO,ТЕМНЫЙ РЕЖИМ,深色模式,深色模式,다크 모드,ダークモード,DONKER THEMA,MODE FOSC,PIMEJA ALE,TEMEN NAČIN
GAMEPLAY,,GAMEPLAY,JEU,GAMEPLAY,GAMEPLAY,JUEGO,JOGABILIDADE,ИГРОВОЙ ПРОЦЕСС,游戏,玩法,게임플레이,ゲームプレイ,GAMEPLAY,JOC,MUSI,IGRANJE
UNLOCK_EVERYTHING,This is an option that will unlock all content in the game. It is followed by the string UNLOCK_WARNING once the player selects it.,UNLOCK EVERYTHING,TOUT DÉBLOQUER,SBLOCCA TUTTO,ALLES FREISCHALTEN,DESBLOQUEAR TODO,DESBLOQUEAR TUDO,"ОТКРЫТЬ ВС<font=NotoSans-VariableFont_wdth,wght SDF>Ë</font>",解锁所有内容,解鎖全內容,모든 요소 잠금 해제,すべてアンロック,ALLES ONTGRENDELEN,DESBLOQUEJAR-HO TOT,O LON E MA LEN ALE,ODKLENI VSE
RESTORE_PURCHASE,,RESTORE,RESTAURER L'ACHAT,RIPRISTINA L'ACQUISTO,WIEDERHERSTELLEN,RESTAURAR COMPRA,RESTAURAR COMPRA,ВОССТАНОВИТЬ,修复,恢復,복구,復元,HERSTELLEN,REESTABLEIX COMPRA,PONA LI MUSI,OBNOVI NAKUP
SCREEN_MODE,,SCREEN MODE,MODE D'ÉCRAN,MODALITÀ SCHERMO,BILDSCHIRMMODUS,MODO DE PANTALLA,MODO DE TELA,РЕЖИМ ЭКРАНА,画面模式,畫面模式,화면 모드,スクリーンモード,SCHERMSTAND,MODE DE PANTALLA,NASIN PI SINPIN SITELEN,ZASLONSKI NAČIN
PORTRAIT,,PORTRAIT,PORTRAIT,RITRATTO,PORTRÄT,VERTICAL,RETRATO,ПОРТРЕТ,竖屏,直式,세로 방향,ポートレート,VERTICAAL,VERTICAL,SULI SEWI,VERTIKALNO
LANDSCAPE,,LANDSCAPE,PAYSAGE,PAESAGGIO,LANDSCHAFT,APAISADA,PAISAGEM,ПАНОРАМА,横屏,橫式,가로 방향,ランドスケープ,HORIZONTAAL,HORITZONTAL,SULI POKA,HORIZONTALNO
UPGRADE,,UPGRADE,MISE À NIVEAU,AGGIORNA,UPGRADE,MEJORAR,APRIMORAR,УЛУЧШИТЬ,升级,升級,업그레이드,アップグレード,UPGRADE,MILLORAR,O ESUN E ALE MUSI,NADGRADI
UPGRADE_THANKS,,Thank you for upgrading the game to the full version!,Merci d'avoir mis le jeu à niveau vers la version complète !,Grazie per aver aggiornato il gioco alla versione completa!,"Danke, dass du das Spiel auf die Vollversion aktualisiert hast!",¡Gracias por mejorar el juego a la versión completa!,Obrigado por aprimorar o jogo para a versão completa!,"Спасибо, что приобрели полную версию!",感谢你把游戏升为完整版！,感謝你升級為完整版！,정식 버전으로 업그레이드해주셔서 감사합니다!,ゲームをリリース版にアップグレードしてくれてありがとう！,Bedankt voor het upgraden naar de volle versie van het spel!,Gràcies per millorar el joc a la versió completa!,sina esun e ni: ale musi li lon. sina pona!,Hvala za nadgraditev igre v polno verzijo!
UNLOCK_WARNING,,This will unlock access to every level for the current savefile and is not undoable. Are you sure?,Cette action est définitive et débloquera dans la sauvegarde actuelle l'accès à tous les niveaux. Confirmer ?,Quest'azione sbloccherà l'accesso a tutti i livelli per il salvataggio corrente e non è annullabile. Vuoi continuare?,Dadurch wird der Zugang zu allen Levels für die aktuelle Speicherdatei freigeschaltet und kann nicht rückgängig gemacht werden. Bist du dir sicher?,Se desbloqueará el acceso a todos los niveles en la partida actual. Esta acción no se puede deshacer. ¿Seguro que quieres hacerlo?,Isso irá desbloquear o acesso a todos os níveis no salvamento atual e não pode ser desfeito. Tem certeza?,Вы получите полный доступ ко всем уровням на выбранном сохранении. Это необратимый процесс. Вы уверены?,确定要解锁吗？解锁之后，现在这个存档可以直接体验所有关卡，而且解锁不能后悔。,這將解鎖目前存檔的所有關卡，且此操作無法取消。是否確定解鎖？,"현재 세이브 파일에서 모든 레벨을 선택할 수 있게 되며, 되돌릴 수 없습니다. 정말로 계속하시겠습니까?",実行すると現在のセーブファイルですべてのステージをあそべるようになりますが、元に戻すことはできません。よろしいですか？,"Hiermee ontgrendel je de toegang tot alle levels voor het huidige opslagbestand, iets dat niet ongedaan gemaakt kan worden. Weet je het zeker?",Aquesta opciò desbloquejarà tots els nivells per a la partida actual i no es pot desfer. Estàs segur?,"ni li lon e ma len ale, lon lipu ni pi pali sina. kama la sina ken ala weka e ni. sina wile ala wile e ni?",To bo odklenilo dostop do vseh ugank za trenutno igro in je nepovratno. Ste prepričani?
UNLOCK_WARNING_2,,This will unlock access to every level for the current savefile. Are you sure?,Cela débloquera l'accès à tous les niveaux dans la sauvegarde actuelle. Confirmer ?,Quest'azione sbloccherà l'accesso a tutti i livelli per il salvataggio corrente. Vuoi continuare?,Dadurch wird der Zugang zu jedem Level der aktuellen Speicherdatei freigeschaltet. Bist du sicher?,Se desbloqueará el acceso a todos los niveles en la partida actual. ¿Seguro que quieres hacerlo?,Isso irá desbloquear o acesso a todos os níveis no salvamento atual. Tem certeza?,Вы получите полный доступ ко всем уровням на выбранном сохранении. Вы уверены?,确定要解锁吗？解锁之后，现在这个存档可以直接体验所有关卡。,這將解鎖目前存檔的所有關卡。是否確定解鎖？,현재 세이브 파일에서 모든 레벨을 선택할 수 있게 됩니다. 정말로 계속하시겠습니까?,実行すると現在のセーブファイルですべてのステージをあそべるようになります。よろしいですか？,Hiermee ontgrendel je de toegang tot alle levels voor het huidige opslagbestand. Weet je het zeker?,Aquesta opciò desbloquejarà tots els nivells per a la partida actual. Estàs segur?,"ni li lon e ma len ale, lon lipu ni pi pali sina. sina wile ala wile e ni?",To bo odklenilo dostop do vseh ugank za trenutno igro. Ste prepričani?
ALREADY_UNLOCKED,,This save file already has all levels unlocked.,Les niveaux de cette sauvegarde sont déjà tous débloqués.,Questo salvataggio ha già tutti i livelli sbloccati.,In dieser Speicherdatei sind bereits alle Levels freigeschaltet.,Esta partida ya tiene todos los niveles desbloqueados.,Este salvamento já possui todos os níveis desbloqueados.,На этом сохранении уже открыты все уровни.,这个存档所有关卡都已经解锁了。,此存檔的所有關卡已經解鎖了。,이미 모든 레벨이 잠금해제되어있습니다.,このセーブファイルはすべてのステージをアンロックずみです。,Dit opslagbestand heeft alle levels al ontgrendeld.,Aquesta partida ja té tots els nivells desbloquejats.,ma len ale li kama open lon tenpo pini.,Ta igra že ima vse uganke odklenjene.
CREDITS_BLAZ,,"<b>Design, art, music and sound</b><br>Blaž Urban Gracar","<b>Conception, illustrations, musique et son</b><br>Blaž Urban Gracar","<b>Design, grafica, musica e suoni</b><br>Blaž Urban Gracar","<b>Design, Grafik, Musik und Sound</b><br>Blaž Urban Gracar","<b>Diseño, arte, música y sonido</b><br>Blaž Urban Gracar","<b>Design, arte, música e som</b><br>Blaž Urban Gracar","<b>Дизайн, арт, музыка и звук</b><br>Blaž Urban Gracar",<b>设计、美术、音乐、音效</b><br>Blaž Urban Gracar,<b>設計、美術、音樂、音效</b><br>Blaž Urban Gracar,"<b>디자인, 아트, 음악 및 효과음</b><br>Blaž Urban Gracar",<b>デザイン、アート、音楽、サウンド</b><br>Blaž Urban Gracar,"<b>Design, art, muziek, en geluid</b><br>Blaž Urban Gracar","<b>Disseny, art, música i so</b><br>Blaž Urban Gracar",jan Blaž Urban Gracar<br><b>li pali e pilin e nasin e sitelen e kalama</b>,"<b>Dizajn, grafika, glasba in zvok</b><br>Blaž Urban Gracar"
CREDITS_FERRAN,,"<b>Programming, add. design, pixel art</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Programmation sup., conception, pixel art</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Programmazione, design aggiuntivo, pixel art</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Programmierung, zusätz. Design, Pixelgrafik</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Programación, diseño adicional, arte píxel</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Programação, design adicional, pixel art</b><br>Ferran Ruiz Sala (Raindrinker)","<b>Программирование, доп. дизайн, пиксель-арт</b><br>Ferran Ruiz Sala (Raindrinker)",<b>编程、设计协助、像素美术</b><br>Ferran Ruiz Sala（Raindrinker）,<b>程式設計、附加設計、像素美術</b><br>Ferran Ruiz Sala (Raindrinker),"<b>프로그래밍, 추가 디자인, 픽셀 아트</b><br>Ferran Ruiz Sala (Raindrinker)",<b>プログラミング、広報、デザイン、ピクセルアート</b><br>Ferran Ruiz Sala (Raindrinker),"<b>Programmering, aanvul. design, pixelart</b><br>Ferran Ruiz Sala (Raindrinker)",<b>Programació i disseny addicional</b><br>Ferran Ruiz Sala (Raindrinker),jan Ferran Ruiz Sala (Raindrinker)<br><b>li pali e ilo e sitelen pi leko mute e nasin namako</b>,"<b>Programiranje, dodaten dizajn, piksel grafika</b><br>Ferran Ruiz Sala"
CREDITS_ARSENY,,<b>Additional programming</b><br>Arseny Dremin (FreezedIce),<b>Programmation supplémentaire</b><br>Arseny Dremin (FreezedIce),<b>Programmazione aggiuntiva</b><br>Arseny Dremin (FreezedIce),<b>Zusätzliche Programmierung</b><br>Arseny Dremin (FreezedIce),<b>Programación adicional</b><br>Arseny Dremin (FreezedIce),<b>Programação adicional</b><br>Arseny Dremin (FreezedIce),<b>Дополнительное программирование</b><br>Arseny Dremin (FreezedIce),<b>编程协助</b><br>Arseny Dremin（FreezedIce）,<b>附加程式設計</b><br>Arseny Dremin (FreezedIce),<b>추가 프로그래밍</b><br>Arseny Dremin (FreezedIce),<b>追加プログラミング</b><br>Arseny Dremin (FreezedIce),<b>Aanvullende programmering</b><br>Arseny Dremin (FreezedIce),<b>Programació addicional</b><br>Arseny Dremin (FreezedIce),jan Arseny Dremin (FreezedIce)<br><b>li pali ilo namako</b><br>,<b>Dodatno programiranje</b><br>Arseny Dremin (FreezedIce)
WINDOW,,WINDOW,FENÊTRÉ,FINESTRA,FENSTER,VENTANA,JANELA,В ОКНЕ,窗口化,視窗化,창모드,ウインドウ,VENSTER,FINESTRA,POKI,OKNO
FULLSCREEN,,FULLSCREEN,PLEIN ÉCRAN,SCHERMO INTERO,VOLLBILD,PANTALLA COMPLETA,TELA CHEIA,ПОЛНЫЙ ЭКРАН,全屏,全螢幕,전체화면,フルスクリーン,VOLLEDIG SCHERM,PANTALLA COMPLETA,ALE,ZAPOLNJEN EKRAN
EMPTY,,EMPTY,VIDE,VUOTO,LEER,VACÍO,VAZIO,ПУСТО,空,空,빈 파일,無し,LEEG,BUIDA,ALA,PRAZNO
